b0_m,l_b0,shape_func,energy_density_Jm3,radial_pressure_Pa,transverse_tension_Pa,energy_violation
0.1,-4.3,0.022651349466027832,-1.2676914176357099e+42,-1.2676914176357099e+42,1.2676914176357099e+42,0.0
0.1,-4.2,0.023162052730603976,-1.3859431372844933e+42,-1.3859431372844933e+42,1.3859431372844933e+42,0.0
0.1,-4.1,0.02369561801910073,-1.5181314923867048e+42,-1.5181314923867048e+42,1.5181314923867048e+42,0.0
0.1,-4.0,0.024253562503633298,-1.6662470196271356e+42,-1.6662470196271356e+42,1.6662470196271356e+42,0.0
0.1,-3.9,0.024837535026770385,-1.8326148384510757e+42,-1.8326148384510757e+42,1.8326148384510757e+42,0.0
0.1,-3.8,0.025449329927964382,-2.019959380923994e+42,-2.019959380923994e+42,2.019959380923994e+42,0.0
0.1,-3.7,0.026090902514277467,-2.231483278299478e+42,-2.231483278299478e+42,2.231483278299478e+42,0.0
0.1,-3.6,0.026764386378609464,-2.4709638502159376e+42,-2.4709638502159376e+42,2.4709638502159376e+42,0.0
0.1,-3.5,0.027472112789737806,-2.742871562390842e+42,-2.742871562390842e+42,2.742871562390842e+42,0.0
0.1,-3.4,0.02821663239915502,-3.052516003896217e+42,-3.052516003896217e+42,3.052516003896217e+42,0.0
0.1,-3.3,0.029000739528287085,-3.4062264666949305e+42,-3.4062264666949305e+42,3.4062264666949305e+42,0.0
0.1,-3.2,0.02982749931359468,-3.811576194832274e+42,-3.811576194832274e+42,3.811576194832274e+42,0.0
0.1,-3.1,0.030700277992275836,-4.277661948850933e+42,-4.277661948850933e+42,4.277661948850933e+42,0.0
0.1,-3.0,0.03162277660168379,-4.815453886722421e+42,-4.815453886722421e+42,4.815453886722421e+42,0.0
0.1,-2.9,0.03259906833194043,-5.438235136295895e+42,-5.438235136295895e+42,5.438235136295895e+42,0.0
0.1,-2.8,0.033633639699815636,-6.162156137674323e+42,-6.162156137674323e+42,6.162156137674323e+42,0.0
0.1,-2.7,0.0347314355823594,-7.006936266495194e+42,-7.006936266495194e+42,7.006936266495194e+42,0.0
0.1,-2.6,0.03589790793088691,-7.996754913384831e+42,-7.996754913384831e+42,7.996754913384831e+42,0.0
0.1,-2.5,0.037139067635410375,-9.161386704822683e+42,-9.161386704822683e+42,9.161386704822683e+42,0.0
0.1,-2.4,0.03846153846153847,-1.0537651620046622e+43,-1.0537651620046622e+43,1.0537651620046622e+43,0.0
0.1,-2.3,0.03987261114144502,-1.2171271144098883e+43,-1.2171271144098883e+43,1.2171271144098883e+43,0.0
0.1,-2.2,0.0413802944301184,-1.411924694690145e+43,-1.411924694690145e+43,1.411924694690145e+43,0.0
0.1,-2.1,0.042993358039234784,-1.6452909094619814e+43,-1.6452909094619814e+43,1.6452909094619814e+43,0.0
0.1,-2.0,0.0447213595499958,-1.9261815546889688e+43,-1.9261815546889688e+43,1.9261815546889688e+43,0.0
0.1,-1.9,0.04657464328326224,-2.2658720252221776e+43,-2.2658720252221776e+43,2.2658720252221776e+43,0.0
0.1,-1.8,0.048564293117863214,-2.6785855101473066e+43,-2.6785855101473066e+43,2.6785855101473066e+43,0.0
0.1,-1.7,0.05070201265633939,-3.182277335414399e+43,-3.182277335414399e+43,3.182277335414399e+43,0.0
0.1,-1.6,0.052999894000318,-3.799594343140402e+43,-3.799594343140402e+43,3.799594343140402e+43,0.0
0.1,-1.5,0.05547001962252292,-4.5590095968969674e+43,-4.5590095968969674e+43,4.5590095968969674e+43,0.0
0.1,-1.4,0.058123819371909656,-5.496089626007151e+43,-5.496089626007151e+43,5.496089626007151e+43,0.0
0.1,-1.3,0.060971076084969246,-6.65476415019475e+43,-6.65476415019475e+43,6.65476415019475e+43,0.0
0.1,-1.2,0.06401843996644799,-8.088306044615735e+43,-8.088306044615735e+43,8.088306044615735e+43,0.0
0.1,-1.1,0.06726727939963126,-9.859449820278909e+43,-9.859449820278909e+43,9.859449820278909e+43,0.0
0.1,-1.0,0.07071067811865475,-1.2038634716806054e+44,-1.2038634716806054e+44,1.2038634716806054e+44,0.0
0.1,-0.9,0.07432941462471664,-1.469873900895095e+44,-1.469873900895095e+44,1.469873900895095e+44,0.0
0.1,-0.8,0.07808688094430304,-1.7903977865565218e+44,-1.7903977865565218e+44,1.7903977865565218e+44,0.0
0.1,-0.7,0.08192319205190407,-2.169025668538545e+44,-2.169025668538545e+44,2.169025668538545e+44,0.0
0.1,-0.6,0.08574929257125442,-2.6035109681674e+44,-2.6035109681674e+44,2.6035109681674e+44,0.0
0.1,-0.5,0.0894427190999916,-3.08189048750235e+44,-3.08189048750235e+44,3.08189048750235e+44,0.0
